序号,课程名称,课程难度,作业多少,给分好坏,收获大小,选课类别,教学类型,课程类别,开课单位,课程层次,学分
2191,新生“科学与社会”研讨课（陈旸）,简单,中等,一般,一般,计划,理论课,本科计划内课程,教务处,通修,1.0
2192,数理方程B（王建伟）,困难,很多,一般,一般,计划,理论课,本科计划内课程,数学科学学院,专业基础,2.0
2193,恒星结构和演化（王挺贵）,困难,很少,一般,一般,基础,理论课,研究生课程,天文学系,硕士,4.0
2194,新生“科学与社会”研讨课（俞汉青）,简单,很少,一般,一般,计划,理论课,本科计划内课程,教务处,通修,1.0
2195,新生“科学与社会”研讨课（俞书宏）,中等,中等,一般,一般,计划,理论课,本科计划内课程,教务处,通修,1.0
2196,新生“科学与社会”研讨课（熊宇杰）,简单,很少,一般,很多,计划,理论课,本科计划内课程,教务处,通修,1.0
2197,数字电路（张俊霞）,中等,中等,一般,一般,未知,未知,本科计划内课程,计算机科学与技术系,全校通修,3.0
2198,心理学（孔燕）,中等,中等,一般,一般,计划,理论课,本科计划内课程,科技传播与科技政策系,专业基础,2.0
2199,放疗计划与验证（吴爱东）,中等,很少,一般,一般,专业,理论课,研究生课程,工程与应用物理系,博士,2.0
2200,"电磁学A（韩永建, 程福臻）",简单,中等,一般,一般,计划,理论课,本科计划内课程,物理学院,通修,4.0
2201,电磁学A（卢荣德）,简单,中等,超好,一般,计划,理论课,本科计划内课程,物理学院,通修,4.0
2202,电磁学（秦敢）,中等,中等,一般,一般,计划,理论课,本科计划内课程,物理学院,通修,4.0
2203,海洋遥感及应用（孙亮）,中等,中等,超好,一般,专业,理论课,研究生课程,地球和空间科学学院,硕士,2.0
2204,生物医学信息检测与系统设计（陈香）,简单,很少,一般,一般,基础,理论课,研究生课程,电子科学与技术系,硕士,3.0
2205,"模拟与数字电路（张俊霞, 卢建良）",中等,很多,一般,一般,计划,理论课,本科计划内课程,计算机科学与技术系,专业基础,4.0
2206,游泳（吴成林）,中等,中等,一般,很多,体育,理论课,体育选项,体育教学中心,通修,1.0
2207,电磁学B（张一飞）,中等,中等,一般,一般,计划,理论课,本科计划内课程,物理学院,通修,4.0
2208,材料力学（姜洪源）,中等,很多,一般,一般,计划,理论课,本科计划内课程,近代力学系,专业基础,4.0
2209,最优控制（李俊）,中等,中等,杀手,一般,专业,理论课,研究生课程,自动化系,硕士,2.0
2210,"符号计算系统（邓建松, 张韵华）",中等,很多,一般,很多,通识,理论课,核心通识,数学科学学院,通修,2.0
2211,管理学概论（赵定涛）,简单,中等,超好,一般,计划,理论课,本科计划内课程,管理科学系,专业基础,3.0
2212,绿色化学（闫立峰）,简单,很少,超好,没有,基础,理论课,研究生课程,化学物理系,本研贯通,4.0
2213,"结构生物学II(波谱学)（吴季辉, 龚庆国）",简单,很少,超好,很多,基础,理论课,研究生课程,生命科学学院,硕士,2.0
2214,程序设计语言基础（冯新宇）,困难,很少,超好,很多,计划,理论实验课,本科计划内课程,计算机科学与技术系,专业选修,3.5
2215,程序设计语言理论（张昱）,困难,中等,一般,一般,基础,理论课,研究生课程,计算机科学与技术系,硕士,3.0
2216,知识产权（宋小燕）,简单,很少,超好,一般,专业,理论课,专业硕士,公共事务学院,硕士,1.0
2217,经济法（焦海涛）,简单,很少,超好,一般,计划,理论课,本科计划内课程,工商管理系,专业基础,3.0
2218,管理信息系统（刘和福）,中等,很少,一般,一般,计划,理论课,本科计划内课程,工商管理系,专业基础,3.0
2219,科学计量学（吴强）,简单,很少,一般,一般,通识,理论课,核心通识,管理学院,通修,2.0
2220,非线性光学（史保森）,困难,很少,一般,一般,基础,理论课,研究生课程,光学与光学工程系,本研贯通,4.0
2221,量子信息与安全导论（陈巍）,困难,很少,一般,没有,未知,理论实验课,本科计划内课程,信息安全,专业核心,2.0
2222,量子力学（石名俊）,困难,中等,一般,一般,计划,理论课,本科计划内课程,物理学院,专业基础,3.0
2223,近世代数(H)（欧阳毅）,中等,中等,一般,一般,计划,理论课,本科计划内课程,数学科学学院,专业核心,4.0
2224,随机过程B（侯波）,中等,很少,一般,一般,计划,理论课,本科计划内课程,统计与金融系,专业基础,2.0
2225,"运筹学基础（顾乃杰, 任开新）",中等,中等,杀手,一般,计划,理论课,本科计划内课程,计算机科学与技术系,专业基础,2.0
2226,"计算机组成原理（张辉, 李曦）",中等,中等,一般,一般,计划,理论实验课,本科计划内课程,计算机科学与技术系,专业核心,4.0
2227,羽毛球（司友志）,简单,很少,一般,一般,公选课,理论课,研究生课程,体育教学中心,硕士,2.0
2228,重要思想概论实践-课堂实践（叶政）,简单,很少,一般,一般,计划,实验课,本科计划内课程,马克思主义理论教学研究部,通修,1.0
2229,辐射剂量与防护（蒋诗平）,简单,很少,一般,一般,基础,理论课,研究生课程,国家同步辐射实验室,硕士,3.0
2230,乒乓球,中等,中等,超好,一般,体育,理论课,体育选项,体育教学中心,通修,1.0
2231,高等数理统计,中等,中等,一般,很多,未知,未知,研究生课,统计与金融系,未知,4.0
2232,计算机视觉,简单,很少,超好,很多,未知,未知,研究生课,自动化系,本研衔接,3.0
2233,运筹学II,中等,很少,一般,一般,未知,未知,本科计划内课程,管理科学系,学科群基础课,4.0
2234,"高分子化学（张其锦, 刘世勇）",中等,很少,超好,很多,计划,理论课,本科计划内课程,高分子科学与工程系,专业核心,4.0
2235,高分子物理（朱平平）,中等,中等,一般,很多,计划,理论课,本科计划内课程,高分子科学与工程系,专业核心,4.0
2236,"高分子物理实验（朱平平, 杨海洋）",简单,很少,超好,一般,计划,实验课,本科计划内课程,高分子科学与工程系,专业核心,2.0
2237,"高分子复合材料（刘和文, 刘华蓉）",中等,中等,一般,一般,计划,理论课,本科计划内课程,高分子科学与工程系,专业选修,2.0
2238,非线性电子线路实验（肖鸿）,简单,很少,超好,没有,计划,实验课,本科计划内课程,信息科学技术学院,专业基础,0.5
2239,高级英语作文（程卓）,中等,很多,一般,很多,英语,理论课,本科计划内课程,外语系,通修,2.0
2240,利用Matlab建筑传热建模,中等,很少,一般,一般,未知,未知,研究生课,热科学和能源工程系,本研衔接,2.0
2241,基础微积分3（宣本金）,中等,中等,杀手,很多,计划,理论课,本科计划内课程,数学科学学院,通修,2.0
2242,"无机化学基础实验(上)（李光水,  陶先刚,  查正根...）",中等,中等,一般,一般,计划,实验课,本科计划内课程,化学系,通修,2.0
2243,化学原理B（陶先刚）,中等,很少,一般,一般,计划,理论课,本科计划内课程,化学系,通修,4.0
2244,机器人DIY（王大欣）,简单,很少,一般,一般,通识,实验课,核心通识,信息科学技术学院,通修,0.5
2245,新生“科学与社会”研讨课（李厚强）,简单,很少,一般,没有,计划,理论课,本科计划内课程,教务处,通修,1.0
2246,新生“科学与社会”研讨课（张信明）,简单,很少,超好,没有,计划,理论课,本科计划内课程,教务处,通修,1.0
2247,自然辩证法概论（史玉民）,简单,很少,超好,一般,基础,理论课,研究生课程,科技哲学系,硕士,1.0
2248,复变函数B（吴劲松）,中等,中等,一般,一般,计划,理论课,本科计划内课程,数学科学学院,专业基础,2.0
2249,计算方法B（刘源）,简单,中等,超好,一般,计划,理论课,本科计划内课程,数学科学学院,专业基础,2.0
2250,"有机化学B（李光水, 汪谟贞）",中等,中等,一般,一般,计划,理论课,本科计划内课程,化学系,专业基础,4.0
2251,公司金融（英）（潘婉彬）,中等,中等,超好,一般,计划,理论课,本科计划内课程,统计与金融系,专业核心,3.0
2252,新生“科学与社会”研讨课（刘世林）,中等,很少,超好,一般,计划,理论课,本科计划内课程,教务处,通修,1.0
2253,有氧健身I(俱乐部)（曾妮）,简单,很少,一般,一般,体育,理论课,体育选项,体育教学中心,通修,1.0
2254,中国特色社会主义理论与实践研究（胡云峰）,中等,很多,一般,一般,基础,理论课,研究生课程,马克思主义理论教学研究部,硕士,2.0
2255,生物物理III（袁军华）,中等,中等,一般,一般,计划,理论课,本科计划内课程,物理学院,专业选修,2.0
2256,"实验物理中的信号采集处理（封常青, 曹喆）",中等,中等,一般,很多,计划,理论课,本科计划内课程,近代物理系,专业选修,4.0
2257,微细制造技术（吴东）,简单,很少,超好,没有,专业,理论课,研究生课程,精密机械与精密仪器系,硕士,2.0
2258,"现代太阳物理（甘为群, 季海生）",中等,中等,一般,一般,基础,理论课,研究生课程,紫金山天文台,硕士,4.0
2259,计算机网络原理及应用（杨俊朋）,中等,中等,一般,一般,计划,理论实验课,本科计划内课程,科技传播与科技政策系,专业基础,2.5
2260,新生“科学与社会”研讨课（陈卿）,中等,中等,一般,一般,计划,理论课,本科计划内课程,教务处,通修,1.0
2261,"产业经济学（刘志迎, 马朝良）",中等,很多,超好,一般,计划,理论课,本科计划内课程,工商管理系,专业基础,2.0
2262,"普通化学实验（时亮,  陶先刚,  傅得欣...）",中等,中等,一般,一般,计划,实验课,本科计划内课程,化学系,通修,1.0
2263,"无机化学I（杨上峰, 陈涛）",中等,中等,一般,一般,计划,理论课,本科计划内课程,化学系,通修,2.0
2264,"计算机数学（顾乃杰, 黄章进）",困难,中等,杀手,很多,基础,理论课,研究生课程,计算机科学与技术系,博士,3.0
2265,"大学英语听说III（崔海建, 尹俊）",中等,很多,一般,一般,英语,理论课,本科计划内课程,外语系,通修,1.0
2266,乒乓球II（王洪武）,中等,很少,一般,一般,体育,理论课,体育选项,体育教学中心,通修,1.0
2267,电动力学（刘阿娣）,中等,很少,一般,一般,计划,理论课,本科计划内课程,物理学院,专业基础,4.0
2268,线性椭圆方程（张宏）,简单,很少,一般,一般,基础,理论课,研究生课程,数学科学学院,硕士,4.0
2269,"电子技术基础(2)（黄锡汝, 曹平）",中等,中等,一般,没有,计划,理论课,本科计划内课程,近代物理系,专业基础,2.0
2270,"力学与热学（罗习刚, 何清波）",中等,中等,超好,没有,未知,未知,本科计划内课程,物理学院,全校通修,4.0
2271,"科学、技术与工程导论（叶邦角,  李传锋,  麻希南...）",简单,很少,一般,一般,未知,未知,未知,少年班学院,未知,2.0
2272,"无机化学基础实验(上)（李光水, 黄微, 高明丽）",简单,很少,一般,一般,计划,实验课,本科计划内课程,化学系,通修,2.0
2273,"光学（胡红专, 黄坤）",简单,很少,一般,一般,计划,理论课,本科计划内课程,物理学院,未知,2.0
2274,"计算方法B（张梦萍, 刘庆源）",简单,很少,一般,一般,计划,理论课,本科计划内课程,数学科学学院,专业基础,2.0
2275,应用量子化学(H)（李震宇）,中等,中等,超好,一般,计划,理论课,本科计划内课程,化学物理系,专业基础,2.0
2276,计算机数学（韩恺）,困难,中等,杀手,很多,基础,理论课,研究生课程,计算机科学与技术系,博士,3.0
2277,计算机领域前沿研究进展（李锐）,中等,很少,一般,一般,未知,未知,本科计划内课程,信息科学技术学院,未知,2.0
2278,概率论与数理统计B（丁浩）,中等,中等,一般,很多,计划,理论课,本科计划内课程,统计与金融系,专业基础,3.0
2279,计算机领域前沿研究进展（石贝贝）,中等,很少,一般,一般,计划,理论课,本科计划内课程,信息科学技术学院,专业核心,1.5
2280,"量子物理B（郑惠南, 叶晓东）",困难,很多,一般,很多,计划,理论课,本科计划内课程,电子科学与技术系,学科群,3.0
2281,"分析化学II（淦五二, 杨俊, 李涛）",简单,很少,超好,一般,计划,理论课,本科计划内课程,化学系,专业基础,3.0
2282,"电子系统综合设计（王卫东, 陈晓辉）",中等,很多,一般,一般,计划,理论课,本科计划内课程,电子工程与信息科学系,专业核心,2.0
2283,C++面向对象技术（石竹）,中等,很少,一般,一般,专业,理论课,研究生课程,软件学院,硕士,0.5
2284,唐诗宋词人文解读（王晓燕）,中等,中等,一般,一般,通识,理论课,核心通识,人文素质教学研究部,通修,2.0
2285,"空间探测实验（李毅人,  雷久侯,  夏海云...）",中等,中等,一般,很多,计划,理论实验课,本科计划内课程,地球和空间科学学院,专业选修,2.0
2286,"空间物理实习（雷久侯, 刘宇）",中等,中等,一般,一般,计划,实验课,本科计划内课程,地球和空间科学学院,专业核心,1.0
2287,工程热力学A（赵旸）,困难,很多,杀手,没有,计划,理论课,本科计划内课程,热科学和能源工程系,专业基础,4.0
2288,数据库系统及应用（谢希科）,中等,很少,一般,一般,计划,理论实验课,本科计划内课程,计算机科学与技术系,专业基础,3.5
2289,"数据科学基础（徐童, 何向南）",中等,中等,一般,一般,基础,理论课,研究生课程,大数据学院,硕士,3.0
2290,“科学与社会”研讨课（李勇）,简单,很少,超好,没有,计划,理论课,本科计划内课程,管理学院,通修,1.0
2291,"材料科学导论（英）（高海英, 鲍米斯特, 温布斯特）",中等,中等,超好,一般,计划,理论课,本科计划内课程,材料科学与工程系,专业核心,2.0
2292,信息检索（罗昭锋）,简单,很少,一般,一般,专业,理论课,专业硕士,先进技术研究院,硕士,1.0
2293,离散数学I（许胤龙）,中等,很少,超好,一般,双学,理论课,双学位课程,计算机科学与技术系,专业核心,3.0
2294,计算材料学（英文）（李震宇）,困难,很少,一般,很多,专业,理论课,研究生课程,材料科学与工程系,硕士,2.0
2295,力学A（张榕京）,简单,很少,超好,一般,计划,理论课,本科计划内课程,物理学院,通修,4.0
2296,"学术道德与学术写作规范（万明, 李金龙）",简单,很少,一般,一般,专业,理论课,研究生课程,科技哲学系,硕士,1.0
2297,英语口语沟通（中级）（Edmund Morton）,简单,很少,一般,一般,计划,理论课,一般通识,外语教学中心,自由选修,1.0
2298,音乐基础与经典作品赏析（王伟华）,简单,很少,一般,一般,公选课,理论课,研究生课程,人文素质教学研究部,硕士,3.0
2299,“科学与社会”研讨课（李金龙）,中等,很少,超好,一般,计划,理论课,本科计划内课程,计算机科学与技术系,通修,1.0
2300,新能源利用技术前沿,简单,很少,超好,一般,计划,理论课,本科计划内课程,热科学和能源工程系,专业选修,2.0
2301,科技写作与表达（汪毓明）,困难,中等,超好,很多,计划,理论课,核心通识,少年班学院,通修,1.0
2302,"理论与计算化学(III)（侯中怀, 袁岚峰）",困难,中等,一般,没有,基础,理论课,研究生课程,化学物理系,硕士,2.0
2303,认知神经科学（心理学）（张效初）,简单,很多,一般,一般,基础,理论课,研究生课程,生命科学学院,硕士,2.0
2304,"细胞生物学实验方法与原理（周荣斌,  江维,  符传孩...）",中等,很少,一般,一般,基础,理论课,研究生课程,生命科学学院,本研贯通,2.0
2305,"药理学（汪铭, 熊伟, 汪香婷）",困难,很少,一般,一般,计划,理论课,本科计划内课程,生命科学学院,专业选修,2.0
2306,"数理逻辑（肖明军, 吉建民）",中等,中等,超好,很多,计划,理论课,本科计划内课程,计算机科学与技术系,专业基础,3.0
2307,"代数结构（吕敏, 徐宏力, 许杨）",中等,很少,一般,一般,计划,理论课,本科计划内课程,计算机科学与技术系,专业基础,3.0
2308,代数几何进阶（盛茂）,中等,很少,一般,一般,基础,理论课,研究生课程,数学科学学院,硕士,4.0
2309,英语交流II（Mary Dillane）,中等,中等,一般,一般,英语,理论课,本科计划内课程,外语教学中心,通修,2.0
2310,原子物理A（尹民）,中等,很少,一般,一般,计划,理论课,本科计划内课程,物理学院,通修,4.0
2311,"气溶胶、云和降水卫星遥感（傅云飞, 陆高鹏）",简单,很少,超好,没有,基础,理论课,研究生课程,地球和空间科学学院,硕士,3.0
2312,"高分子化学（刘世勇, 何卫东）",中等,中等,一般,很多,计划,理论课,本科计划内课程,高分子科学与工程系,专业核心,4.0
2313,自动控制原理（石春）,中等,很多,一般,很多,计划,理论课,本科计划内课程,自动化系,专业基础,4.0
2314,信号与系统B（王明会）,中等,很多,一般,一般,计划,理论课,本科计划内课程,信息科学技术学院,专业基础,3.0
2315,大数据系统及综合实验（马建辉）,中等,中等,超好,很多,计划,理论实验课,本科计划内课程,大数据学院,专业核心,2.5
2316,泛函分析（王兵）,中等,很少,超好,很多,计划,理论课,本科计划内课程,数学科学学院,专业核心,3.0
2317,"空间探测基础实习（雷久侯, 刘宇）",困难,很多,超好,很多,计划,实验课,本科计划内课程,地球和空间科学学院,专业核心,1.0
2318,"能源化学（穆杨, 张晓东）",简单,很少,一般,一般,计划,理论课,本科计划内课程,化学系,专业选修,2.0
2319,"有机化学(A2)（王川, 韩志勇）",简单,很少,一般,没有,计划,理论课,本科计划内课程,化学系,专业基础,2.0
2320,"生物化学A1（周丛照, 陈泉, 李卫芳）",中等,中等,一般,很多,计划,理论课,本科计划内课程,生命科学与医学部,专业核心,2.0
2321,金属有机化学导论（王中夏）,中等,很少,一般,很多,计划,理论课,本科计划内课程,化学系,专业选修,2.0
2322,"有机合成化学B（张清伟, 郭昌）",困难,很少,一般,一般,专业,理论课,研究生课程,化学系,硕士,4.0
2323,信息安全前沿（糜相行）,中等,中等,一般,一般,专业,理论课,研究生课程,计算机科学与技术系,博士,2.0
2324,芭蕾基训（唐瑛）,简单,很少,一般,一般,通识,理论课,核心通识,艺术教学中心,通修,2.0
2325,自然辩证法概论（刘立）,中等,中等,一般,一般,基础,理论课,研究生课程,科技哲学系,硕士,1.0
2326,自然辩证法概论（徐玉祺）,简单,中等,一般,一般,专业,理论课,研究生课程,科技哲学系,硕士,1.0
2327,"复变函数B（李书敏, 宋伟）",中等,中等,一般,一般,计划,理论课,本科计划内课程,数学科学学院,未知,2.0
2328,商事法（孙昌兴）,简单,很少,一般,一般,计划,理论课,本科计划内课程,工商管理系,学科群,2.0
2329,计算方法B（张韵华）,中等,很少,一般,一般,计划,理论课,本科计划内课程,数学科学学院,专业基础,2.0
2330,随机过程B（曹平）,中等,很少,一般,一般,计划,理论课,本科计划内课程,统计与金融系,专业基础,2.0
2331,计算方法B（童伟华）,简单,中等,一般,一般,计划,理论课,本科计划内课程,数学科学学院,专业基础,2.0
2332,思想道德与法治（汤俪瑾）,简单,很少,一般,一般,计划,理论课,本科计划内课程,马克思主义学院,通修,3.0
2333,现代日本语言与文化(初级)（霍沁宇）,中等,很少,一般,一般,通识,理论课,一般通识,外语教学中心,自由选修,4.0
2334,习近平新时代中国特色社会主义思想概论（彭莉君）,简单,很少,一般,一般,计划,理论课,本科计划内课程,马克思主义学院,通修,3.0
2335,复分析(H)（许斌）,中等,中等,一般,一般,计划,理论课,本科计划内课程,数学科学学院,专业核心,4.0
2336,"计算物理A（丁泽军,  孙霞,  李静...）",困难,很多,一般,很多,计划,理论课,本科计划内课程,物理学院,未知,3.0
2337,"化学原理A（吴长征, 黄伟新）",中等,中等,一般,一般,计划,理论课,本科计划内课程,化学系,通修,4.0
2338,"操作系统（熊焰, 黄文超）",中等,很少,超好,一般,双学,理论实验课,双学位课程,计算机科学与技术系,专业核心,3.5
2339,毛泽东思想和中国特色社会主义理论体系概论（胡珺）,简单,中等,超好,一般,计划,理论课,本科计划内课程,马克思主义理论教学研究部,通修,3.0
2340,"中国纸墨笔砚（汤书昆, 钱斌, 陈彪）",中等,中等,一般,一般,通识,理论实验课,核心通识,科技传播与科技政策系,通修,2.0
2341,"恒星物理基础（王春成, 王宇）",中等,中等,一般,一般,计划,理论课,本科计划内课程,天文学系,专业核心,4.0
2342,力学（鄢文标）,中等,很少,一般,一般,计划,理论课,本科计划内课程,物理学院,通修,4.0
2343,重要思想概论（李凌云）,简单,很少,一般,没有,计划,理论课,本科计划内课程,马克思主义理论教学研究部,通修,3.0
2344,信息论B（刘斌）,中等,中等,一般,一般,计划,理论课,本科计划内课程,信息安全,专业基础,2.0
2345,固体物理A（曾长淦）,中等,很少,一般,一般,计划,理论课,本科计划内课程,物理学系,专业核心,4.0
2346,手球I(俱乐部)（杨善君）,简单,很少,超好,一般,体育,理论课,体育选项,体育教学中心,通修,1.0
2347,英语交流进阶III（Mary Dillane）,简单,很少,一般,一般,英语,理论课,本科计划内课程,外语教学中心,通修,1.0
2348,"反应堆物理（彭常宏, 郭赟）",中等,很少,一般,一般,计划,理论课,本科计划内课程,工程与应用物理系,专业选修,2.0
2349,生物物理I（温泉）,中等,中等,一般,一般,计划,理论课,本科计划内课程,物理学院,专业选修,2.0
2350,"数理统计（张伟平, 王学钦）",中等,中等,一般,一般,计划,理论课,本科计划内课程,统计与金融系,专业核心,4.0
2351,英语交流I（郑捷）,中等,中等,一般,一般,英语,理论课,本科计划内课程,外语教学中心,通修,2.0
2352,"操作系统（张驰, 周鹏远）",中等,中等,超好,一般,计划,理论实验课,本科计划内课程,网络空间安全学院,专业基础,3.5
2353,拳击II（赵前军）,简单,很少,一般,一般,体育,理论课,体育选项,体育教学中心,通修,1.0
2354,数据科学导论（刘淇）,中等,中等,一般,一般,通识,理论课,核心通识,大数据学院,通修,2.0
2355,"热学（高新亮, 朱晓东）",中等,中等,一般,一般,计划,理论课,本科计划内课程,物理学院,通修,3.0
2356,算法基础（徐云）,中等,中等,一般,很多,计划,理论实验课,本科计划内课程,信息安全,专业基础,3.5
2357,大学生心理学（孔燕）,简单,很少,一般,一般,通识,理论课,核心通识,人文素质教学研究部,通修,2.0
2358,非参数统计（王占锋）,中等,很少,一般,一般,计划,理论课,本科计划内课程,统计与金融系,专业选修,3.0
2359,大学生心理学（沈克祥）,中等,中等,一般,一般,通识,理论课,核心通识,人文素质教学研究部,通修,2.0
2360,密码学导论（李卫海）,中等,中等,一般,一般,计划,理论课,本科计划内课程,信息安全,专业核心,3.0
2361,回归分析（兰小红）,简单,很少,一般,一般,计划,理论课,本科计划内课程,数学科学学院,专业选修,3.0
2362,复分析（许斌）,困难,很多,一般,一般,计划,理论课,本科计划内课程,数学科学学院,专业基础,4.0
2363,多变量微积分（宁吴庆）,困难,中等,一般,很多,计划,理论课,本科计划内课程,数学科学学院,通修,6.0
2364,数学分析(B1)（刘聪文）,中等,很少,一般,一般,计划,理论课,本科计划内课程,数学科学学院,通修,6.0
2365,地电地磁学理论与应用（吴小平）,中等,很少,超好,一般,计划,理论课,本科计划内课程,地球和空间科学学院,专业核心,3.0
2366,抽样调查（冯群强）,简单,很少,一般,一般,计划,理论课,本科计划内课程,统计与金融系,专业选修,3.0
2367,健美操I（曾妮）,中等,很少,一般,一般,体育,理论课,体育选项,体育教学中心,通修,1.0
2368,量子计算导论（杨威）,中等,很少,超好,一般,基础,理论课,研究生课程,计算机科学与技术系,硕士,3.0
2369,多复变函数论（赵晨）,中等,很少,一般,很多,基础,理论课,研究生课程,数学科学学院,硕士,4.0
2370,激光原理与技术（姚培军）,简单,很少,一般,一般,计划,理论课,本科计划内课程,光学与光学工程系,专业核心,3.0
2371,"化学原理A（徐小龙, 黄建）",中等,很少,一般,一般,计划,理论课,本科计划内课程,化学系,专业基础,4.0
2372,数字电路（曹平）,困难,中等,一般,一般,计划,理论课,本科计划内课程,近代物理系,专业基础,3.0
2373,广义相对论与宇宙学（曹利明）,困难,很少,一般,一般,基础,理论课,研究生课程,近代物理系,本研贯通,4.0
2374,线性代数(A1)（欧阳毅）,中等,中等,一般,很多,计划,理论课,本科计划内课程,数学科学学院,通修,5.0
2375,"实用随机过程（胡太忠, 冯群强）",中等,中等,一般,很多,计划,理论课,本科计划内课程,统计与金融系,专业核心,4.0
2376,电子线路（宋彦）,中等,中等,超好,很多,计划,理论课,本科计划内课程,信息科学技术学院,通修,4.0
2377,大学英语听说I（周俊兰）,中等,中等,一般,一般,英语,理论课,本科计划内课程,外语系,通修,1.0
2378,化学原理C（蒋彬）,中等,中等,一般,一般,计划,理论课,本科计划内课程,化学与材料科学学院,通修,2.0
2379,化学原理B（张镇）,中等,中等,一般,一般,计划,理论课,本科计划内课程,化学系,专业基础,4.0
2380,热学（朱平）,困难,中等,一般,一般,计划,理论课,本科计划内课程,物理学院,通修,3.0
2381,信息论A（龚晨）,困难,很多,超好,一般,计划,理论课,本科计划内课程,电子工程与信息科学系,专业核心,3.0
2382,网络安全基础及应用（司虎）,简单,很少,一般,一般,通识,理论课,一般通识,电子科学与技术系,自由选修,2.0
2383,马克思主义基本原理（江可可）,中等,很少,超好,一般,计划,理论课,本科计划内课程,马克思主义学院,通修,3.0
2384,操作系统原理与设计（陈香兰）,中等,中等,一般,一般,计划,理论实验课,本科计划内课程,计算机科学与技术系,专业核心,4.0
2385,电子技术基础(1)（杨俊峰）,简单,中等,一般,没有,计划,理论课,本科计划内课程,近代物理系,专业基础,2.0
2386,"计算机体系结构（闫宇博, 张燕咏）",中等,中等,一般,一般,计划,理论实验课,本科计划内课程,计算机科学与技术系,专业核心,3.5
2387,热力学与统计物理A（翁明其）,中等,很多,一般,一般,计划,理论课,本科计划内课程,物理学院,专业基础,4.0
2388,微分方程I（梁兴）,中等,中等,一般,一般,计划,理论课,本科计划内课程,数学科学学院,专业基础,4.0
2389,"物理化学基础实验(上)（王晓葵,  陶宁,  冯红艳...）",中等,中等,一般,一般,未知,未知,本科计划内课程,化学物理系,全校通修,2.0
2390,机械设计基础I（李家文）,中等,中等,一般,一般,计划,理论实验课,本科计划内课程,工程科学学院,专业基础,3.0
2391,"时间和空间（赵文, 冯畅）",中等,很少,一般,一般,计划,理论课,本科计划内课程,天文学系,专业基础,2.0
2392,"核电子学方法（王坚, 张鸿飞）",中等,中等,一般,一般,基础,理论课,研究生课程,近代物理系,本研贯通,4.0
2393,天体物理中的辐射过程（林宣滨）,中等,很少,一般,一般,基础,理论课,研究生课程,天文学系,硕士,4.0
2394,"有机化学(A1)（田仕凯, 徐允河）",中等,中等,一般,一般,计划,理论课,本科计划内课程,化学系,专业基础,4.0
2395,有机化学(A1)（张国颖）,中等,中等,一般,一般,计划,理论课,本科计划内课程,化学系,专业基础,4.0
2396,新生“科学与社会”研讨课（陈春华）,中等,中等,一般,一般,计划,理论课,本科计划内课程,教务处,通修,1.0
2397,机械制图及CAD(A1)（干方建）,中等,很多,一般,一般,未知,未知,本科计划内课程,精密机械与精密仪器系,未知,3.0
2398,新生“科学与社会”研讨课（陈恩红）,简单,很少,超好,没有,未知,未知,本科计划内课程,教务处,全校通修,1.0
2399,机器学习与知识发现（陈恩红）,中等,中等,一般,一般,专业,理论实验课,研究生课程,计算机科学与技术系,硕士,3.0
2400,线性代数(B1)（叶郁）,中等,中等,一般,一般,计划,理论课,本科计划内课程,数学科学学院,通修,4.0
2401,热学（罗习刚）,中等,中等,一般,没有,计划,理论课,本科计划内课程,物理学院,通修,3.0
2402,运作管理（凌六一）,中等,很少,一般,一般,未知,未知,本科计划内课程,管理科学系,未知,3.0
2403,高分子生物材料（洪春雁）,中等,很少,一般,一般,计划,理论课,本科计划内课程,高分子科学与工程系,专业选修,2.0
2404,概率论与数理统计（张伟平）,中等,中等,一般,一般,计划,理论课,本科计划内课程,统计与金融系,专业基础,3.0
2405,药物化学（阮科）,困难,中等,一般,很多,计划,理论课,本科计划内课程,生命科学学院,专业选修,2.0
2406,认知神经科学（张效初）,简单,中等,一般,一般,计划,理论课,本科计划内课程,生命科学学院,专业选修,2.0
2407,高级数据库系统（岳丽华）,中等,中等,一般,一般,基础,理论课,研究生课程,计算机科学与技术系,硕士,3.0
2408,组合数学（许胤龙）,中等,中等,一般,一般,基础,理论课,研究生课程,计算机科学与技术系,硕士,3.0
2409,量子力学B（张鹏飞）,中等,中等,一般,一般,计划,理论课,本科计划内课程,物理学院,专业基础,4.0
2410,学术交流英语,中等,中等,一般,一般,英语口语,理论课,研究生课程,外语系,硕士,2.0
2411,"普通化学实验（时亮,  陶先刚,  傅得欣...）",中等,中等,一般,一般,计划,实验课,本科计划内课程,化学系,通修,1.0
2412,"物理化学实验（吴强华,  冯红艳,  刘红...）",中等,很多,一般,一般,计划,实验课,本科计划内课程,化学物理系,专业基础,1.5
2413,"物理化学基础实验(上)（吴强华,  冯红艳,  刘红...）",中等,很多,一般,一般,计划,实验课,本科计划内课程,化学物理系,专业基础,2.0
2414,财务报表分析（曹崇延）,中等,中等,一般,一般,公选,理论课,综合素质类课程,管理学院,通修,2.0
2415,概率论与数理统计A（金百锁）,中等,中等,一般,一般,计划,理论课,本科计划内课程,统计与金融系,专业基础,4.0
2416,"普通生物化学（李旭, 蔡刚, 李福东）",中等,中等,一般,一般,计划,理论课,本科计划内课程,生命科学学院,通修,3.0
